,book title,ratings,avg_score,author,score,votes
0,Pride and Prejudice,"4,835,087",4.30,Jane Austen,"244,769,","2,476"
1,"Fifty Shades of Grey (Fifty Shades, #1)","2,875,675",3.67,E.L. James,"230,702,","2,340"
2,"Beautiful Disaster (Beautiful, #1)",avg,really,Jamie McGuire,"215,742,","2,189"
3,"Twilight (The Twilight Saga, #1)","7,343,439",3.67,Stephenie Meyer,"141,208,","1,449"
4,"The Notebook (The Notebook, #1)","1,847,117",4.16,Nicholas Sparks,"100,270,","1,030"
5,"Perfect Chemistry (Perfect Chemistry, #1)","263,521",4.04,Simone Elkeles,"98,005,","1,002"
6,"Outlander (Outlander, #1)","1,158,001",4.26,Diana Gabaldon,"92,124,",939
7,Jane Eyre,"2,336,009",4.16,Charlotte Brontë,"90,223,",926
8,"Thoughtless (Thoughtless, #1)","141,933",4.08,S.C. Stephens,"81,928,",843
9,"Bared to You (Crossfire, #1)","551,749",4.13,Sylvia Day,"79,629,",828
10,Gone with the Wind,"1,258,942",4.31,Margaret Mitchell,"70,995,",734
11,"Easy (Contours of the Heart, #1)","229,304",4.07,Tammara Webber,"69,175,",723
12,"Gabriel's Inferno (Gabriel's Inferno, #1)","161,341",3.98,Sylvain Reynard,"64,677,",673
13,The Time Traveler's Wife,avg,really,Audrey Niffenegger,"59,574,",619
14,"Slammed (Slammed, #1)","451,176",4.14,Colleen Hoover,"58,162,",613
15,"Anna and the French Kiss (Anna and the French Kiss, #1)","465,147",3.96,Stephanie Perkins,"57,668,",595
16,A Walk to Remember,"846,323",4.20,Nicholas Sparks,"53,620,",563
17,"Vampire Academy (Vampire Academy, #1)","681,782",4.10,Richelle Mead,"52,553,",548
18,Wuthering Heights,"2,114,920",3.90,Emily Brontë,"52,379,",548
19,"Dark Lover (Black Dagger Brotherhood, #1)","355,525",4.15,J.R. Ward,"50,675,",532
20,The Fault in Our Stars,"5,747,923",4.12,John Green,"47,927,",507
21,"Hush, Hush (Hush, Hush, #1)","745,344",3.92,Becca Fitzpatrick,"47,167,",496
22,Persuasion,"781,850",4.15,Jane Austen,"46,166,",485
23,Sense and Sensibility,"1,302,143",4.09,Jane Austen,"45,395,",486
24,"The Host (The Host, #1)","1,050,447",3.86,Stephenie Meyer,"42,876,",452
25,"Divergent (Divergent, #1)","4,396,050",4.13,Veronica Roth,"42,800,",454
26,"City of Bones (The Mortal Instruments, #1)","2,176,458",4.07,Cassandra Clare,"40,843,",435
27,"Obsidian (Lux, #1)","296,737",4.13,Jennifer L. Armentrout,"37,842,",403
28,"Love Unscripted (Love, #1)","68,290",4.02,Tina Reber,"36,306,",385
29,"On the Island (On the Island, #1)","87,132",4.11,Tracey Garvis Graves,"34,592,",371
30,"Hopeless (Hopeless, #1)","685,686",4.22,Colleen Hoover,"33,686,",365
31,Memoirs of a Geisha,"2,115,335",4.16,Arthur Golden,"33,388,",355
32,"On Dublin Street (On Dublin Street, #1)","205,295",4.15,Samantha Young,"30,611,",333
33,"Shiver (The Wolves of Mercy Falls, #1)","497,106",3.76,Maggie Stiefvater,"30,266,",320
34,"Halfway to the Grave (Night Huntress, #1)","165,020",4.13,Jeaniene Frost,"26,919,",287
35,Water for Elephants,"1,705,088",4.11,Sara Gruen,"26,019,",279
36,"The Bronze Horseman (The Bronze Horseman, #1)","95,501",4.29,Paullina Simons,"25,773,",268
37,The Truth About Forever,"226,325",4.12,Sarah Dessen,"25,634,",273
38,"It Had to Be You (Chicago Stars, #1)",avg,really,Susan Elizabeth Phillips,"25,352,",282
39,Kiss an Angel,"70,062",4.16,Susan Elizabeth Phillips,"25,268,",276
40,"Reason to Breathe (Breathing, #1)","95,472",4.21,Rebecca    Donovan,"24,315,",263
41,Emma,"988,951",4.05,Jane Austen,"23,000,",246
42,"The Edge of Never (The Edge of Never, #1)","150,089",4.21,J.A. Redmerski,"22,777,",254
43,"Flat-Out Love (Flat-Out Love, #1)",avg,really,Jessica Park,"21,010,",225
44,"A Kingdom of Dreams (Westmoreland, #1)","56,416",4.20,Judith McNaught,"20,407,",221
45,"Leaving Paradise (Leaving Paradise, #1)","44,152",3.99,Simone Elkeles,"20,332,",220
46,"Clockwork Angel (The Infernal Devices, #1)","878,365",4.31,Cassandra Clare,"20,239,",222
47,This Lullaby,"180,848",4.01,Sarah Dessen,"20,069,",224
48,"Matched (Matched, #1)","815,747",3.62,Ally Condie,"19,551,",210
49,Romeo and Juliet,"2,832,343",3.74,William Shakespeare,"18,905,",206
50,"The Vincent Boys (The Vincent Boys, #1)","75,188",3.94,Abbi Glines,"18,568,",205
51,"Something About You (FBI/US Attorney, #1)","63,837",3.94,Julie James,"17,995,",198
52,"The Summer I Turned Pretty (Summer, #1)","1,136,312",3.74,Jenny Han,"17,913,",193
53,Just the Sexiest Man Alive,"45,670",3.91,Julie James,"17,911,",203
54,"The DUFF: Designated Ugly Fat Friend (Hamilton High, #1)","196,106",3.79,Kody Keplinger,"17,874,",194
55,"The Bride (Lairds' Fiancées, #1)","70,726",4.22,Julie Garwood,"17,598,",191
56,Along for the Ride,"212,267",4.03,Sarah Dessen,"17,506,",193
57,"Call Me Irresistible (Wynette, Texas, #6)","25,882",4.10,Susan Elizabeth Phillips,"17,399,",191
58,"Mystery Man (Dream Man, #1)","73,987",4.20,Kristen Ashley,"16,569,",183
59,"Significance (Significance, #1)","45,597",4.09,Shelly Crane,"16,562,",180
60,Bet Me,"95,270",3.94,Jennifer Crusie,"16,499,",189
61,"Breathe (Sea Breeze, #1)","84,233",3.85,Abbi Glines,"15,534,",176
62,"Natural Born Charmer (Chicago Stars, #7)","37,898",4.15,Susan Elizabeth Phillips,"15,508,",183
63,Forbidden,"76,210",3.95,Tabitha Suzuma,"15,248,",168
64,"Lover Eternal (Black Dagger Brotherhood, #2)","202,723",4.32,J.R. Ward,"15,120,",181
65,"Shatter Me (Shatter Me, #1)","1,235,914",3.84,Tahereh Mafi,"15,117,",166
66,"Me Before You (Me Before You, #1)","1,808,957",4.26,Jojo Moyes,"14,905,",168
67,Can You Keep a Secret?,"477,417",3.82,Sophie Kinsella,"14,840,",170
68,"Naked in Death (In Death, #1)","204,653",4.13,J.D. Robb,"14,781,",160
69,The Thorn Birds,"365,555",4.25,Colleen McCullough,"14,644,",167
70,"Sugar Daddy (Travises, #1)","46,481",4.02,Lisa Kleypas,"14,574,",164
71,"The Gamble (Colorado Mountain, #1)","61,061",4.24,Kristen Ashley,"14,327,",158
72,"This Heart of Mine (Chicago Stars, #5)","33,061",4.08,Susan Elizabeth Phillips,"14,320,",173
73,Ain't She Sweet?,"26,599",4.08,Susan Elizabeth Phillips,"14,225,",166
74,The Sweet Gum Tree,"31,417",4.25,Katherine Allred,"14,074,",159
75,"Wallbanger (Cocktail, #1)","211,996",3.97,Alice Clayton,"14,007,",166
76,Going Too Far,"38,327",3.92,Jennifer Echols,"13,870,",152
77,"Bridget Jones’s Diary (Bridget Jones, #1)","1,025,492",3.81,Helen Fielding,"13,840,",155
78,"Playing for Keeps (Neighbor from Hell, #1)","115,984",4.02,R.L. Mathewson,"12,598,",146
79,"Catching Jordan (Hundred Oaks, #1)","64,612",3.83,Miranda Kenneally,"12,543,",138
80,"Pushing the Limits (Pushing the Limits, #1)","122,918",4.04,Katie McGarry,"12,355,",151
81,"Wait for You (Wait for You, #1)","169,766",4.13,J. Lynn,"12,205,",142
82,"Fallen Too Far (Rosemary Beach, #1; Too Far, #1)","174,336",4.15,Abbi Glines,"11,770,",135
83,"Rock Chick (Rock Chick, #1)","59,809",4.17,Kristen Ashley,"11,684,",131
84,"Devil in Winter (Wallflowers, #3)","99,676",4.20,Lisa Kleypas,"11,557,",132
85,"Nobody's Baby But Mine (Chicago Stars, #3)","44,252",4.03,Susan Elizabeth Phillips,"11,528,",145
86,"Existence (Existence, #1)","62,573",3.92,Abbi Glines,"11,022,",126
87,"Lover Unbound (Black Dagger Brotherhood, #5)","141,441",4.31,J.R. Ward,"10,826,",138
88,North and South,"184,087",4.15,Elizabeth Gaskell,"10,713,",126
89,Forget You,"26,492",3.78,Jennifer Echols,"10,624,",116
90,"The Madness of Lord Ian Mackenzie (Mackenzies & McBrides, #1)","40,500",4.04,Jennifer Ashley,"10,460,",124
91,The Sky Is Everywhere,"110,292",3.95,Jandy Nelson,"10,313,",113
92,"Forever Mine (The Moreno Brothers, #1)","23,100",3.87,Elizabeth Reyes,"10,283,",115
93,Practice Makes Perfect,"32,369",3.95,Julie James,"10,220,",118
94,"Fallen (Fallen, #1)","619,232",3.72,Lauren Kate,"10,204,",117
95,"The Boy Who Sneaks in My Bedroom Window (The Boy Who Sneaks in My Bedroom Window, #1)","78,190",3.84,Kirsty Moseley,"10,174,",115
96,"Delirium (Delirium, #1)","479,407",3.95,Lauren Oliver,"9,971,",112
97,Lock and Key,"152,452",3.99,Sarah Dessen,"9,910,",113
98,"The Perfect Play (Play by Play, #1)","41,121",3.88,Jaci Burton,"9,762,",109
99,"The Darkest Night (Lords of the Underworld, #1)","86,019",4.05,Gena Showalter,"9,729,",109
100,"Archer's Voice (Pelion Lake, #1)","680,923",4.16,Mia Sheridan,"9,375,",113
101,"Hex Hall (Hex Hall, #1)","143,813",3.92,Rachel Hawkins,"9,198,",105
102,"Match Me If You Can (Chicago Stars, #6)","48,330",4.12,Susan Elizabeth Phillips,"9,164,",115
103,"That Boy (That Boy, #1)","48,052",3.94,Jillian Dodd,"9,134,",101
104,"Goddess of Light (Goddess Summoning, #3)","7,821",4.04,P.C. Cast,"9,122,",110
105,Honey Moon,"8,061",3.88,Susan Elizabeth Phillips,"9,004,",113
106,"Slave to Sensation (Psy-Changeling, #1)","78,917",4.08,Nalini Singh,"8,850,",100
107,Heart on a Chain,"17,253",4.03,Cindy C. Bennett,"8,811,",96
108,"Paradise (Paradise, #1)","36,994",4.30,Judith McNaught,"8,776,",103
109,Redeeming Love,"375,123",4.51,Francine  Rivers,"8,588,",105
110,Pericles and Aspasia: A Story of Ancient Greece,"15,802",4.29,Yvonne Korshak,"8,469,",88
111,"Pleasure Unbound (Demonica, #1)","55,053",4.04,Larissa Ione,"8,241,",95
112,"Heaven, Texas (Chicago Stars, #2)","35,894",4.03,Susan Elizabeth Phillips,"8,192,",114
113,"Cross My Heart (Cross My Heart, #1)","18,530",3.91,Katie Klein,"8,191,",91
114,"Something Wonderful (Sequels, #2)","31,640",4.30,Judith McNaught,"8,185,",101
115,Taming Flame,"16,714",4.28,Therisa Peimer,"8,036,",84
116,"A Knight in Shining Armor (Montgomery/Taggert Family, #13)","38,578",4.20,Jude Deveraux,"7,924,",91
117,Mr. Perfect,"37,802",4.05,Linda Howard,"7,879,",91
118,"Little Women (Little Women, #1)","2,473,543",4.17,Louisa May Alcott,"7,577,",96
119,"Backstage Pass (Sinners on Tour, #1)","63,110",3.98,Olivia Cunning,"7,472,",88
120,Trust in Advertising,"11,789",3.88,Victoria Michaels,"7,424,",84
121,"Rules of Protection (Tangled in Texas, #1)","7,533",3.84,Alison Bliss,"7,407,",90
122,"Taking Shots (Assassins, #1)","23,454",3.90,Toni Aleo,"6,920,",78
123,"The Deal (Off-Campus, #1)","1,052,134",4.20,Elle Kennedy,"6,876,",95
124,"Lady Be Good (Wynette, Texas, #2)","18,501",3.99,Susan Elizabeth Phillips,"6,874,",103
125,"Almost Heaven (Sequels, #3)","29,786",4.33,Judith McNaught,"6,850,",89
126,"Vain (The Seven Deadly, #1)","30,722",4.22,Fisher Amelie,"6,827,",93
127,The Bridges of Madison County,"107,117",3.72,Robert James Waller,"6,823,",92
128,"Vision in White (Bride Quartet, #1)","143,836",4.12,Nora Roberts,"6,594,",81
129,Perfect You,"21,965",3.69,Elizabeth Scott,"6,591,",89
130,Ugly Love,"2,324,049",3.99,Colleen Hoover,"6,589,",79
131,"Dream a Little Dream (Chicago Stars, #4)","36,568",4.16,Susan Elizabeth Phillips,"6,561,",97
132,Cry No More,"16,121",4.14,Linda Howard,"6,552,",92
133,"Perfect (Paradise, #2)","25,504",4.30,Judith McNaught,"6,546,",81
134,"A Discovery of Witches (All Souls, #1)","558,683",4.02,Deborah Harkness,"6,526,",75
135,"Secrets of a Summer Night (Wallflowers, #1)",avg,really,Lisa Kleypas,"6,375,",78
136,"Smooth Talking Stranger (Travises, #3)","43,204",4.13,Lisa Kleypas,"6,121,",82
137,"P.S. I Love You (P.S. I Love You, #1)","398,346",4.04,Cecelia Ahern,"6,094,",79
138,"Lord of Scoundrels (Scoundrels, #3)","41,476",4.07,Loretta Chase,"5,998,",78
139,"The Coincidence of Callie & Kayden (The Coincidence, #1)","117,396",4.16,Jessica Sorensen,"5,975,",74
140,The Forgotten Palace,"3,504",4.18,Alexandra Walsh,"5,922,",62
141,"The Secret (Highlands' Lairds, #1)","56,715",4.25,Julie Garwood,"5,917,",73
142,"The Marriage Bargain (Marriage to a Billionaire, #1)","112,080",3.79,Jennifer Probst,"5,836,",74
143,"Unleashed (Ross Siblings, #1)","31,330",3.87,Cherrie Lynn,"5,779,",69
144,"Lover Mine (Black Dagger Brotherhood, #8)","117,677",4.39,J.R. Ward,"5,709,",69
145,"Seduce Me at Sunrise (The Hathaways, #2)","48,138",4.04,Lisa Kleypas,"5,661,",70
146,Northanger Abbey,"456,607",3.85,Jane Austen,"5,647,",68
147,"Jewels of the Sun (Gallaghers of Ardmore, #1)","68,469",4.22,Nora Roberts,"5,589,",71
148,"Blue-Eyed Devil (Travises, #2)","40,497",4.18,Lisa Kleypas,"5,585,",72
149,"Lover Avenged (Black Dagger Brotherhood, #7)","120,585",4.36,J.R. Ward,"5,554,",86
150,"Romancing Mister Bridgerton (Bridgertons, #4)","430,989",3.88,Julia Quinn,"5,554,",68
151,Rebecca,"726,734",4.25,Daphne du Maurier,"5,524,",65
152,Flowers from the Storm,"17,759",4.06,Laura Kinsale,"5,491,",66
153,"Kissed by an Angel/The Power of Love/Soulmates (Kissed by an Angel, #1-3)","27,376",4.08,Elizabeth Chandler,"5,484,",62
154,"It Happened One Autumn (Wallflowers, #2)","73,432",4.09,Lisa Kleypas,"5,483,",69
155,"The Mighty Storm (The Storm, #1)","74,339",4.14,Samantha Towle,"5,444,",66
156,Safe Haven,"402,435",4.22,Nicholas Sparks,"5,440,",84
157,Stardust,"482,499",4.10,Neil Gaiman,"5,421,",68
158,"Virgin River (Virgin River, #1)","80,443",4.01,Robyn Carr,"5,365,",66
159,Nineteen Steps,"20,298",3.76,Millie Bobby Brown,"5,347,",56
160,"A Lady's Guide to Fortune-Hunting (A Lady's Guide, #1)","50,494",3.91,Sophie Irwin,"5,331,",56
161,"Firelight (Firelight, #1)","70,773",3.84,Sophie Jordan,"5,267,",60
162,Dreams Come True,283,4.24,Bridgitte Lesley,"5,267,",53
163,"The Duke and I (Bridgertons, #1)","697,761",3.80,Julia Quinn,"5,215,",69
164,After Forever Ends,"1,536",4.05,Melodie Ramone,"5,196,",52
165,Galatea,"124,932",3.93,Madeline Miller,"5,161,",54
166,Like Water for Chocolate,"396,310",3.95,Laura Esquivel,"5,154,",71
167,A Storm of Infinite Beauty,"22,084",4.30,Julianne MacLean,"5,078,",53
168,"Ransom (Highlands' Lairds, #2)","38,544",4.33,Julie Garwood,"5,071,",62
169,"Darkfever (Fever, #1)","190,436",4.05,Karen Marie Moning,"5,069,",61
170,An American Beauty,"27,602",4.12,Shana Abe,"4,993,",53
171,I've Got Your Number,"240,930",3.94,Sophie Kinsella,"4,992,",61
172,"Always Remember: Ben's Story (Ravenswood, #3)","4,508",4.14,Mary Balogh,"4,986,",52
173,Honor's Splendour,"34,879",4.23,Julie Garwood,"4,984,",72
174,Just Once,"9,638",4.41,Karen Kingsbury,"4,973,",52
175,"Dance Upon the Air (Three Sisters Island, #1)","75,137",4.21,Nora Roberts,"4,951,",61
176,"Fantasy Lover (Hunter Legends, #1)","95,590",4.15,Sherrilyn Kenyon,"4,915,",68
177,Chasing Headlines (Chasing Victory #1),"9,458",4.24,J. Rose Black,"4,896,",51
178,Hello Beautiful,"547,349",4.13,Ann Napolitano,"4,894,",51
179,The Mayor of Maxwell Street,"8,114",3.53,Avery Cunningham,"4,885,",51
180,"Tangled (Tangled, #1)","120,681",4.03,Emma Chase,"4,884,",71
181,Morning Glory,"16,870",4.27,LaVyrle Spencer,"4,879,",63
182,"The Selection (The Selection, #1)","1,771,103",4.07,Kiera Cass,"4,877,",59
183,The Marriage Portrait,avg,really,Maggie O'Farrell,"4,860,",51
184,"Extreme Exposure (I-Team, #1)","14,907",3.91,Pamela Clare,"4,850,",55
185,"Bloodlines (Bloodlines, #1)","191,234",4.20,Richelle Mead,"4,828,",57
186,The Ball at Versailles,"13,077",4.03,Danielle Steel,"4,756,",50
187,"The MacKinnon's Bride (The Highland Brides, #1)","14,017",3.99,Tanya Anne Crosby,"4,706,",49
188,"Lover Revealed (Black Dagger Brotherhood, #4)","144,664",4.28,J.R. Ward,"4,649,",73
189,"Magical Midlife Awakening (Leveling Up, #10)","11,879",4.63,K.F. Breene,"4,643,",49
190,"All The Wrong Reasons (Wrong Reasons, #1)","8,614",3.81,J.L. Paul,"4,611,",54
191,"First Lady (Wynette, Texas, #4)","13,374",4.01,Susan Elizabeth Phillips,"4,582,",80
192,"Mackenzie's Mountain (Mackenzie Family, #1)","19,037",4.16,Linda Howard,"4,582,",54
193,"Riley Thorn and the Dead Guy Next Door (Riley Thorn, #1)","64,982",4.13,Lucy Score,"4,491,",47
194,"Wild Side (Rose Hill, #3)","236,239",4.17,Elsie Silver,"4,458,",47
195,The Phantom of the Opera,"279,167",3.96,Gaston Leroux,"4,391,",73
196,One Day,"411,457",3.88,David Nicholls,"4,384,",49
197,"Savage Bonds (The Bonds that Tie, #2)","137,452",4.24,J. Bree,"4,382,",46
198,"Captive in the Dark (The Dark Duet, #1)","75,093",3.93,C.J. Roberts,"4,354,",49
199,The V Girl: A Coming of Age Story,"16,919",3.95,Mya Robarts,"4,336,",50
200,"Love in the Afternoon (The Hathaways, #5)","53,912",4.20,Lisa Kleypas,"4,326,",61
201,Love Auction: Too Risky to Love Again,"2,561",4.31,Sharon Carter,"4,301,",49
202,Montana Sky,"51,951",4.11,Nora Roberts,"4,276,",49
203,"The Wedding (Lairds' Fiancées, #2)","38,021",4.16,Julie Garwood,"4,261,",55
204,"Again the Magic (Wallflowers, #0)","47,614",4.03,Lisa Kleypas,"4,240,",56
205,The Sea of Tranquility,"88,635",4.29,Katja Millay,"4,228,",51
206,"People in Glass Houses (Ghost Hunters, #16)","4,595",4.39,Jayne Castle,"4,209,",44
207,"The Secret of Ella and Micha (The Secret, #1)","71,490",3.99,Jessica Sorensen,"4,187,",50
208,"Scandal in Spring (Wallflowers, #4)","61,502",4.02,Lisa Kleypas,"4,177,",56
209,Annie's Song,"17,911",4.14,Catherine Anderson,"4,113,",63
210,"Crowns of Ice (Fae of Snow & Ice, #4)","19,434",4.17,Krista Street,"4,100,",43
211,"Fated to the Wolf Prince (The Hunted Omegas, #1)","32,049",3.91,April L. Moon,"4,075,",43
212,"Real (Real, #1)","114,652",4.11,Katy Evans,"4,029,",49
213,"Ruthless Fae (Zodiac Academy, #2)","354,422",4.20,Caroline Peckham,"4,017,",42
214,"Blood Orange (The Dracula Duet, #1)","31,409",3.78,Karina Halle,"4,014,",42
215,"Some Girls Bite (Chicagoland Vampires, #1)","65,792",3.98,Chloe Neill,"3,994,",45
216,"Perfection (Neighbor from Hell, #2)","66,789",4.12,R.L. Mathewson,"3,982,",51
217,"Tears of the Moon (Gallaghers of Ardmore, #2)","37,093",4.20,Nora Roberts,"3,969,",64
218,"Fair Market Value (The Body Shop, #1)","5,147",4.33,Hailey Edwards,"3,926,",41
219,"Storm and Fury (The Harbinger, #1)","71,704",4.03,Jennifer L. Armentrout,"3,905,",41
220,The Princess Bride,"950,181",4.27,William Goldman,"3,862,",53
221,Dark Horizon the Witching Hour (The Children of the Gods #82),"2,504",4.51,I.T. Lucas,"3,846,",40
222,Kulti,"157,627",4.23,Mariana Zapata,"3,836,",56
223,"Taking Chances (Taking Chances, #1)","48,157",3.84,Molly McAdams,"3,829,",45
224,"Twilight of Embers (Dragons of Ember Hollow, #1)","30,440",4.05,Tessa Hale,"3,805,",40
225,Not All You Need is Love,238,4.60,Daniela R. Morassutti,"3,800,",38
226,"Nine Rules to Break When Romancing a Rake (Love By Numbers, #1)","60,450",4.07,Sarah MacLean,"3,795,",54
227,"Mile High (Windy City, #1)","547,762",4.02,Liz Tomforde,"3,730,",39
228,"In Flight (Up in the Air, #1)","79,537",4.07,R.K. Lilley,"3,721,",46
229,The Wolf and the Dove,"20,405",4.13,Kathleen E. Woodiwiss,"3,720,",43
230,"The Alpha's Fated Encounter (Fated to Royalty, #1)","14,729",3.93,Roxie Ray,"3,693,",39
231,"Love Story (Love Story, #1)","64,522",3.65,Erich Segal,"3,690,",42
232,"If I Stay (If I Stay, #1)","969,781",3.91,Gayle Forman,"3,685,",46
233,The Last Song,"572,616",4.16,Nicholas Sparks,"3,680,",57
234,"Leave Me Breathless (Ross Siblings, #3)","33,238",4.24,Cherrie Lynn,"3,668,",63
235,"Face Off (D.C. Stars, #1)","101,309",4.04,Chelsea Curto,"3,643,",38
236,"The Deal (Off-Campus, #1)","1,052,134",4.20,Elle Kennedy,"3,628,",38
237,"Lover Awakened (Black Dagger Brotherhood, #3)","189,450",4.43,J.R. Ward,"3,623,",55
238,The Hating Game,"834,316",3.86,Sally  Thorne,"3,604,",47
239,Gabriel's Fire (The Men of Thorne Enterprises #2),"6,823",4.31,Lotchie Burton,"3,563,",37
240,"The Opportunist (Love Me with Lies, #1)","54,624",4.17,Tarryn Fisher,"3,553,",49
241,"Play It Off (Kings of Campus, #2)","3,357",3.91,Monica  Murphy,"3,547,",37
242,"Lothaire (Immortals After Dark, #11)","49,391",4.36,Kresley Cole,"3,530,",48
243,"Kiss of the Highlander (Highlander, #4)","44,150",4.29,Karen Marie Moning,"3,529,",49
244,"Dreaming of You (The Gamblers of Craven's, #2)","47,670",4.15,Lisa Kleypas,"3,502,",53
245,"In Bed with a Highlander (McCabe Trilogy, #1)","37,473",3.96,Maya Banks,"3,502,",45
246,"The Next Always (Inn BoonsBoro Trilogy, #1)","91,239",4.14,Nora Roberts,"3,499,",43
247,Dear John,"619,010",4.04,Nicholas Sparks,"3,454,",39
248,"Motorcycle Man (Dream Man, #4)","58,669",4.37,Kristen Ashley,"3,450,",45
249,Pitcher Us (Boston Blues #1),"6,752",3.93,Mollie Goins,"3,445,",36
250,"Behind the Net (Vancouver Storm, #1)","189,409",3.79,Stephanie  Archer,"3,429,",36
251,Atonement,"565,505",3.95,Ian McEwan,"3,426,",40
252,Twisted Ties (The Arrow Hart Academy #2),"13,881",4.13,Hannah Haze,"3,416,",36
253,After the Night,"27,259",4.05,Linda Howard,"3,406,",44
254,The Wall of Winnipeg and Me,"306,767",4.15,Mariana Zapata,"3,396,",50
255,Confess,"616,433",4.06,Colleen Hoover,"3,375,",42
256,"Mine Till Midnight (The Hathaways, #1)","81,198",4.06,Lisa Kleypas,"3,367,",47
257,"Kiss of Snow (Psy-Changeling, #10)","33,735",4.43,Nalini Singh,"3,349,",54
258,"The Darkest Surrender  (Lords of the Underworld, #8)","32,862",4.38,Gena Showalter,"3,281,",59
259,"The Romance Line (Love and Hockey, #2)","15,369",4.05,Lauren Blakely,"3,267,",34
260,"Rock and a Hard Place (The Jamieson Collection, #1)","9,973",3.78,Angie Stanton,"3,263,",38
261,Boycotts & Barflies,"8,691",3.90,Victoria Michaels,"3,240,",37
262,"A Week to be Wicked (Spindle Cove, #2)","39,715",4.08,Tessa Dare,"3,224,",50
263,"Love on the Line 2 (Women at Work, #2)","6,144",4.30,Kirsten Fullmer,"3,174,",37
264,Dream Man,"20,324",4.04,Linda Howard,"3,126,",41
265,"This Man (This Man, #1)","118,884",4.05,Jodi Ellen Malpas,"3,110,",38
266,"The Darkest Passion (Lords of the Underworld, #5)","42,222",4.34,Gena Showalter,"3,097,",37
267,"Savor the Moment (Bride Quartet, #3)","61,842",4.15,Nora Roberts,"3,096,",38
268,"Rule (Marked Men, #1)","108,770",4.08,Jay Crownover,"3,092,",41
269,"Tempt Me at Twilight (The Hathaways, #3)","50,577",4.15,Lisa Kleypas,"3,090,",42
270,"Rules of Attraction (Perfect Chemistry, #2)","89,609",4.17,Simone Elkeles,"3,080,",53
271,"Never Your Girl (Western Wildcats Hockey, #7)","3,524",4.09,Jennifer Sucevic,"3,079,",32
272,"Homerun Proposal (Orleans University, #1)","18,718",3.76,Maren Moore,"3,065,",32
273,The Great Gatsby,"5,949,358",3.93,F. Scott Fitzgerald,"3,063,",45
274,"Rock Chick Reckoning (Rock Chick, #6)","32,116",4.41,Kristen Ashley,"3,032,",37
275,"Happy Ever After (Bride Quartet, #4)","63,617",4.19,Nora Roberts,"3,024,",39
276,"Sweet Dreams (Colorado Mountain, #2)","50,543",4.36,Kristen Ashley,"3,024,",38
277,"Prince of Wolves (The Grey Wolves, #1)","40,202",4.03,Quinn Loftis,"3,003,",35
278,Mansfield Park,"381,245",3.86,Jane Austen,"2,991,",35
279,"Playbook (Holland Brothers, #2)","23,000",4.07,Rebecca Jenshak,"2,977,",31
280,"Whitney, My Love (Westmoreland, #2)","39,082",4.11,Judith McNaught,"2,973,",38
281,The Night Circus,avg,really,Erin Morgenstern,"2,970,",36
282,"Beautiful Creatures (Caster Chronicles, #1)","621,898",3.77,Kami Garcia,"2,965,",36
283,"Guilty Pleasures (Anita Blake, Vampire Hunter, #1)","153,572",4.02,Laurell K. Hamilton,"2,962,",35
284,"The Law of Attraction (Lawyers in Love, #1)","11,553",3.76,N.M. Silber,"2,950,",31
285,"Welcome to Temptation (Dempseys, #1)","34,052",3.94,Jennifer Crusie,"2,940,",39
286,"Beautiful Bastard (Beautiful Bastard, #1)","224,977",3.89,Christina Lauren,"2,901,",41
287,The Lucky One,"375,575",4.13,Nicholas Sparks,"2,896,",40
288,"Dark Prince (Dark, #1)",avg,really,Christine Feehan,"2,867,",34
289,"Crash (Crash, #1)","61,657",3.97,Nicole  Williams,"2,859,",36
290,Suddenly You,"31,882",3.93,Lisa Kleypas,"2,837,",39
291,Fangirl,"782,003",3.93,Rainbow Rowell,"2,822,",39
292,Saving Grace,"30,275",4.26,Julie Garwood,"2,810,",39
293,"Sea Swept (Chesapeake Bay Saga, #1)","64,600",4.23,Nora Roberts,"2,800,",47
294,"Flat-Out Sexy (Fast Track, #1)","13,167",3.94,Erin McCarthy,"2,799,",33
295,"Forbidden Ice (Ice Breaker Cold Case Romance, #13)",722,4.33,Cynthia Eden,"2,787,",29
296,Sophie & Carter,"13,636",3.82,Chelsea Fine,"2,753,",33
297,"Bed of Roses (Bride Quartet, #2)","67,876",4.13,Nora Roberts,"2,753,",37
298,"Fury (New Species, #1)","34,881",4.07,Laurann Dohner,"2,750,",32
299,"Married by Morning (The Hathaways, #4)","48,041",4.14,Lisa Kleypas,"2,719,",51
300,"Sempre (Sempre, #1)","28,514",4.13,J.M. Darhower,"2,719,",33
301,Making Faces,"81,132",4.29,Amy Harmon,"2,694,",42
302,Left Field Love,"14,415",3.97,C.W. Farnsworth,"2,689,",28
303,"The Lion's Lady (Crown's Spies, #1)","25,710",4.18,Julie Garwood,"2,682,",41
304,"Things We Hide from the Light (Knockemout, #2)","526,990",4.03,Lucy Score,"2,682,",28
305,Still Beating,"241,019",4.20,Jennifer Hartmann,"2,680,",28
306,10 Days to Surrender (Ozerov Bratva #2),"7,153",4.15,Nicole Fox,"2,676,",28
307,"Unearthly (Unearthly, #1)","129,151",4.01,Cynthia Hand,"2,668,",35
308,"Hearts in Darkness (Hearts in Darkness, #1)","37,874",3.85,Laura Kaye,"2,655,",35
