,book title,ratings,avg_score,author,score,votes
4508,"Kiss Me, Annabel (Essex Sisters, #2)","8,457",3.86,Eloisa James,"73,",2
4509,"Time Without End (Vampire, #3)","1,073",4.09,Linda Lael Miller,"73,",1
4510,Finding my Prince Charming,"6,528",3.36,J.S. Cooper,"73,",1
4511,"Lawe's Justice (Breeds, #18)","7,469",4.13,Lora Leigh,"73,",1
4512,Baby V (Chianti Kisses #1),894,3.65,Tara Oakes,"73,",1
4513,Middle of the Rainbow,12,3.75,Muriel Jensen,"73,",1
4514,Depay (Broken Deeds MC #3),723,4.35,Esther E. Schmidt,"73,",1
4515,The Age of Innocence,"196,958",3.97,Edith Wharton,"73,",1
4516,When It's Real,"27,327",3.99,Erin Watt,"73,",2
4517,"Hothead (Irresistible, #4)","10,083",4.06,Stella Rhys,"73,",1
4518,"Beard in Waiting (Winston Brothers, #3.5)","5,019",4.01,Penny Reid,"73,",1
4519,Book Boyfriend Boxed Set (Book Boyfriend #1-3.5 + bonus),159,4.45,Erin Noelle,"73,",1
4520,Before Dawn (Nightwind #1),"1,654",4.10,Suzanne Halliday,"73,",1
4521,Ausgeliefert in den Highlands,"8,668",3.93,Tracy Brogan,"73,",1
4522,"Behold, Here's Poison (Inspectors Hannasyde & Hemingway, #2)","4,771",3.85,Georgette Heyer,"73,",1
4523,"First Comes Like (Modern Love, #3)","8,888",3.53,Alisha Rai,"73,",1
4524,"Torment Me (Rough Love, #1)","1,842",4.05,Annabel Joseph,"73,",1
4525,Savage Glory,88,4.43,Cassie Edwards,"73,",1
4526,The Pursuit of Freedom,7,4.57,Marina Vinni,"73,",1
4527,"Apache Flame (Coltons, #6)",109,4.45,Janis Reams Hudson,"72,",1
4528,How to Build a House,"2,493",3.70,Dana Reinhardt,"72,",1
4529,"The Empress' New Clothes (Trek Mi Q'an, #1)","4,838",3.65,Jaid Black,"72,",1
4530,Hush (Lodestone #1; Stark Brothers #1),"1,924",3.94,Cherry Adair,"72,",1
4531,You Against Me,"18,699",3.69,Jenny Downham,"72,",1
4532,True Love Story,"22,263",4.02,Willow Aster,"72,",1
4533,"Days of Gold (Edilean, #2)","6,846",3.89,Jude Deveraux,"72,",1
4534,The Amaranth Enchantment,"11,828",3.65,Julie Berry,"72,",1
4535,"Aiden's Charity (Breeds, #10)","7,649",4.10,Lora Leigh,"72,",1
4536,Moonshot,"14,558",3.99,Alessandra Torre,"72,",1
